Date,Order_ID,Product_Category,Product_Name,Customer_ID,Customer_Segment,Region,Units_Sold,Unit_Price,Total_Revenue,Cost_of_Goods,Profit_Margin,Marketing_Channel,Customer_Age,Customer_Gender,Return_Status
2024-02-23,ORD-1026,Electronics,Gaming Monitor,CUST-4372,Standard,Middle East & Africa,2,697.92,1395.85,904.32,35.21,Organic Search,37,Male,Returned
2024-02-29,ORD-1027,Home & Garden,Garden Tools,CUST-4371,Budget,Middle East & Africa,4,253.85,1015.39,453.85,55.3,Organic Search,33,Female,Completed
2024-02-09,ORD-1028,Automotive,Dash Cam,CUST-3366,Premium,Europe,5,99.31,496.57,276.36,44.35,Direct,47,Female,Completed
2024-02-09,ORD-1029,Sports & Outdoors,Yoga Mat,CUST-5359,Budget,Europe,1,110.11,110.11,72.69,33.98,Email Marketing,24,Male,Exchanged
2024-02-11,ORD-1030,Sports & Outdoors,Running Gear,CUST-9041,Enterprise,Middle East & Africa,2,173.27,346.53,216.67,37.47,Referral,21,Other,Exchanged
2024-02-29,ORD-1031,Fashion,Handbag,CUST-1740,Enterprise,Latin America,5,166.78,833.9,503.65,39.6,Paid Search,26,Other,Completed
2024-02-08,ORD-1032,Health & Beauty,Essential Oils,CUST-9787,Premium,Middle East & Africa,1,270.55,270.55,114.07,57.84,Referral,52,Female,Exchanged
2024-02-13,ORD-1033,Health & Beauty,Makeup Kit,CUST-3186,Enterprise,North America,1,79.09,79.09,47.54,39.89,Direct,50,Other,Completed
2024-02-09,ORD-1034,Automotive,Car Vacuum,CUST-4559,Enterprise,Latin America,4,58.23,232.94,94.34,59.5,Referral,47,Male,Returned
2024-02-06,ORD-1035,Health & Beauty,Vitamins,CUST-5012,Enterprise,Middle East & Africa,4,164.95,659.79,271.58,58.84,Organic Search,46,Other,Exchanged
2024-02-03,ORD-1036,Automotive,Car Vacuum,CUST-2543,Budget,North America,1,74.5,74.5,30.92,58.5,Social Media,35,Male,Completed
2024-02-04,ORD-1037,Electronics,Sony Headphones,CUST-9033,Standard,Middle East & Africa,3,1521.69,4565.08,2821.65,38.19,Paid Search,49,Male,Completed
2024-02-23,ORD-1038,Automotive,Air Freshener,CUST-5584,Budget,Asia Pacific,1,153.11,153.11,101.77,33.53,Referral,57,Female,Returned
2024-02-01,ORD-1039,Automotive,Car Vacuum,CUST-2342,Enterprise,Europe,2,57.18,114.37,71.12,37.82,Social Media,49,Other,Completed
2024-02-10,ORD-1040,Sports & Outdoors,Camping Tent,CUST-3199,Standard,Asia Pacific,5,163.74,818.69,343.29,58.07,Social Media,52,Other,Returned
2024-02-08,ORD-1041,Health & Beauty,Vitamins,CUST-6955,Enterprise,Asia Pacific,3,159.35,478.06,255.1,46.64,Affiliate,53,Female,Completed
2024-02-19,ORD-1042,Home & Garden,Kitchen Knife Set,CUST-2133,Standard,Middle East & Africa,1,102.17,102.17,61.04,40.26,Referral,33,Other,Completed
2024-02-21,ORD-1043,Books & Media,Business Book,CUST-8537,Premium,Latin America,1,181.5,181.5,111.95,38.32,Social Media,20,Male,Returned
2024-02-04,ORD-1044,Books & Media,Art Book,CUST-4416,Standard,Europe,3,97.87,293.61,201.95,31.22,Direct,25,Other,Completed
2024-03-14,ORD-1045,Sports & Outdoors,Camping Tent,CUST-5983,Budget,North America,2,56.63,113.26,70.33,37.91,Social Media,56,Other,Completed
2024-03-24,ORD-1046,Electronics,iPad Air,CUST-7078,Budget,Latin America,1,1038.35,1038.35,431.53,58.44,Direct,57,Other,Exchanged
2024-03-23,ORD-1047,Electronics,Wireless Mouse,CUST-8325,Budget,Middle East & Africa,2,1271.1,2542.19,1028.81,59.53,Affiliate,45,Female,Completed
2024-03-26,ORD-1048,Books & Media,Audiobook,CUST-6941,Enterprise,North America,3,62.14,186.41,102.36,45.09,Referral,63,Other,Returned
2024-03-03,ORD-1049,Electronics,Sony Headphones,CUST-5166,Standard,Latin America,3,1785.19,5355.57,3442.67,35.72,Paid Search,20,Female,Completed
2024-03-22,ORD-1050,Health & Beauty,Skincare Set,CUST-1429,Premium,Europe,4,153.67,614.68,291.44,52.59,Affiliate,56,Other,Returned
2024-03-07,ORD-1051,Health & Beauty,Toothbrush,CUST-9311,Enterprise,Europe,2,72.08,144.15,87.36,39.4,Paid Search,18,Other,Completed
2024-03-26,ORD-1052,Toys & Games,Puzzle,CUST-7136,Standard,Latin America,4,185.8,743.19,468.05,37.02,Email Marketing,22,Male,Completed
2024-03-09,ORD-1053,Toys & Games,Educational Toy,CUST-4520,Budget,Middle East & Africa,4,44.53,178.13,116.42,34.64,Paid Search,56,Other,Completed
2024-03-26,ORD-1054,Electronics,Wireless Mouse,CUST-4034,Premium,Middle East & Africa,2,1899.08,3798.17,2112.7,44.38,Email Marketing,63,Male,Exchanged
2024-03-17,ORD-1055,Health & Beauty,Protein Powder,CUST-1623,Enterprise,North America,4,273.89,1095.57,503.63,54.03,Social Media,65,Female,Completed
2024-03-03,ORD-1056,Health & Beauty,Shampoo,CUST-5662,Enterprise,Europe,2,118.96,237.92,110.96,53.36,Email Marketing,24,Female,Exchanged
2024-03-30,ORD-1057,Books & Media,Programming Guide,CUST-3269,Enterprise,Middle East & Africa,4,201.3,805.2,350.34,56.49,Social Media,65,Other,Completed
2024-03-17,ORD-1058,Sports & Outdoors,Running Gear,CUST-5157,Standard,Latin America,5,102.51,512.56,285.82,44.24,Paid Search,34,Other,Completed
2024-03-18,ORD-1059,Fashion,Leather Jacket,CUST-4921,Budget,Middle East & Africa,5,145.25,726.26,422.12,41.88,Referral,23,Female,Completed
2024-03-30,ORD-1060,Fashion,Watch,CUST-7265,Enterprise,North America,1,85.44,85.44,57.12,33.15,Paid Search,60,Male,Exchanged
2024-03-24,ORD-1061,Books & Media,Business Book,CUST-2888,Enterprise,North America,5,180.34,901.69,499.51,44.6,Organic Search,61,Female,Exchanged
2024-03-12,ORD-1062,Toys & Games,Board Game,CUST-2498,Enterprise,North America,2,114.11,228.22,108.07,52.65,Email Marketing,58,Male,Exchanged
2024-03-26,ORD-1063,Health & Beauty,Makeup Kit,CUST-8928,Premium,Europe,3,24.45,73.35,45.58,37.86,Affiliate,27,Other,Returned
2024-03-25,ORD-1064,Home & Garden,Outdoor Furniture,CUST-5316,Enterprise,North America,3,200.19,600.58,258.25,57.0,Paid Search,63,Other,Completed
2024-04-18,ORD-1065,Health & Beauty,Makeup Kit,CUST-3110,Standard,North America,2,160.83,321.65,217.8,32.29,Organic Search,56,Female,Completed
2024-04-15,ORD-1066,Automotive,Air Freshener,CUST-6542,Enterprise,Latin America,3,73.37,220.11,127.54,42.05,Direct,20,Male,Completed
2024-04-25,ORD-1067,Sports & Outdoors,Water Bottle,CUST-7740,Budget,Middle East & Africa,3,52.6,157.81,84.69,46.33,Email Marketing,64,Other,Returned
2024-04-09,ORD-1068,Fashion,Handbag,CUST-3358,Budget,Latin America,5,98.14,490.7,200.62,59.12,Referral,36,Female,Completed
2024-04-03,ORD-1069,Toys & Games,Video Game,CUST-6541,Enterprise,Latin America,2,72.83,145.67,68.98,52.65,Email Marketing,55,Male,Completed
2024-04-28,ORD-1070,Home & Garden,Kitchen Knife Set,CUST-6249,Enterprise,Asia Pacific,3,426.43,1279.29,601.0,53.02,Social Media,37,Female,Completed
2024-04-25,ORD-1071,Fashion,Casual T-Shirt,CUST-9383,Premium,Europe,4,407.52,1630.06,888.99,45.46,Social Media,61,Male,Completed
2024-04-15,ORD-1072,Home & Garden,Garden Tools,CUST-6629,Standard,Asia Pacific,1,347.61,347.61,161.03,53.68,Affiliate,63,Male,Completed
2024-04-16,ORD-1073,Home & Garden,Coffee Maker,CUST-3240,Budget,North America,1,333.64,333.64,216.22,35.19,Referral,52,Female,Completed
2024-04-03,ORD-1074,Fashion,Sneakers,CUST-3247,Enterprise,Europe,5,73.65,368.26,164.96,55.21,Affiliate,35,Other,Completed
2024-04-18,ORD-1075,Health & Beauty,Essential Oils,CUST-7419,Enterprise,Latin America,2,160.52,321.04,151.3,52.87,Paid Search,61,Male,Completed
2024-04-13,ORD-1076,Health & Beauty,Skincare Set,CUST-7759,Premium,Middle East & Africa,6,300.93,1805.55,1106.08,38.74,Paid Search,47,Other,Completed
2024-04-08,ORD-1077,Home & Garden,Coffee Maker,CUST-2648,Premium,Europe,3,526.64,1579.93,1021.12,35.37,Social Media,25,Female,Completed
2024-04-02,ORD-1078,Electronics,Samsung Galaxy S24,CUST-8265,Premium,Asia Pacific,3,718.44,2155.33,1471.81,31.71,Social Media,28,Female,Completed
2024-04-08,ORD-1079,Health & Beauty,Essential Oils,CUST-9169,Premium,Asia Pacific,1,224.99,224.99,127.91,43.15,Email Marketing,41,Female,Exchanged
2024-04-27,ORD-1080,Sports & Outdoors,Water Bottle,CUST-6522,Premium,Middle East & Africa,1,168.15,168.15,98.18,41.61,Referral,24,Female,Completed
2024-04-23,ORD-1081,Sports & Outdoors,Sports Watch,CUST-2261,Budget,Europe,5,27.47,137.36,60.84,55.71,Organic Search,57,Other,Returned
2024-04-15,ORD-1082,Toys & Games,Doll,CUST-9940,Premium,North America,3,41.0,123.01,72.13,41.36,Direct,62,Female,Completed
2024-04-10,ORD-1083,Health & Beauty,Makeup Kit,CUST-9201,Budget,Middle East & Africa,6,51.81,310.87,197.19,36.57,Referral,58,Other,Completed
2024-04-01,ORD-1084,Toys & Games,Educational Toy,CUST-4812,Budget,Europe,2,65.21,130.41,86.87,33.39,Referral,34,Male,Completed
2024-05-01,ORD-1085,Books & Media,Biography,CUST-4434,Budget,Middle East & Africa,1,114.8,114.8,47.11,58.97,Paid Search,49,Female,Completed
2024-05-29,ORD-1086,Fashion,Running Shoes,CUST-2198,Budget,North America,5,125.98,629.88,266.18,57.74,Affiliate,37,Other,Exchanged
2024-05-31,ORD-1087,Electronics,iPad Air,CUST-8678,Budget,North America,1,1096.43,1096.43,638.65,41.75,Referral,27,Female,Completed
2024-05-08,ORD-1088,Toys & Games,Board Game,CUST-6035,Premium,North America,5,128.68,643.4,283.12,56.0,Referral,64,Female,Completed
2024-05-19,ORD-1089,Sports & Outdoors,Water Bottle,CUST-1978,Standard,Middle East & Africa,2,39.47,78.93,41.36,47.6,Organic Search,59,Female,Completed
2024-05-01,ORD-1090,Health & Beauty,Moisturizer,CUST-5420,Budget,North America,6,19.52,117.1,65.16,44.36,Affiliate,54,Male,Exchanged
2024-05-26,ORD-1091,Toys & Games,Action Figure,CUST-5943,Enterprise,Europe,3,215.05,645.14,434.54,32.64,Paid Search,53,Male,Completed
2024-05-04,ORD-1092,Fashion,Running Shoes,CUST-3169,Standard,Latin America,3,293.84,881.52,479.23,45.64,Paid Search,63,Female,Returned
2024-05-23,ORD-1093,Home & Garden,Bed Sheets,CUST-4136,Budget,Europe,4,252.61,1010.43,673.14,33.38,Referral,39,Female,Completed
2024-05-22,ORD-1094,Books & Media,Cookbook,CUST-8474,Budget,Europe,6,50.99,305.96,151.01,50.64,Email Marketing,29,Male,Completed
2024-05-04,ORD-1095,Sports & Outdoors,Sports Watch,CUST-6083,Standard,Latin America,6,26.7,160.17,88.54,44.72,Paid Search,35,Male,Completed
2024-05-22,ORD-1096,Electronics,MacBook Pro,CUST-7376,Enterprise,Latin America,3,761.21,2283.63,1347.13,41.01,Affiliate,52,Female,Exchanged
2024-05-31,ORD-1097,Books & Media,Magazine,CUST-2403,Premium,Asia Pacific,1,54.24,54.24,29.16,46.24,Direct,37,Other,Completed
2024-05-15,ORD-1098,Toys & Games,Card Game,CUST-7987,Premium,Middle East & Africa,6,198.53,1191.19,527.44,55.72,Affiliate,50,Male,Completed
2024-05-20,ORD-1099,Electronics,MacBook Pro,CUST-9445,Enterprise,Asia Pacific,2,1400.25,2800.49,1779.03,36.47,Direct,27,Other,Exchanged
2024-05-16,ORD-1100,Sports & Outdoors,Hiking Boots,CUST-8535,Standard,Europe,5,96.48,482.4,205.32,57.44,Paid Search,24,Female,Completed
2024-05-08,ORD-1101,Toys & Games,Video Game,CUST-7678,Standard,Latin America,4,114.66,458.65,218.15,52.44,Direct,64,Female,Completed
2024-05-22,ORD-1102,Health & Beauty,Essential Oils,CUST-8088,Standard,Europe,2,53.75,107.51,71.87,33.15,Direct,39,Female,Completed
2024-05-31,ORD-1103,Books & Media,Biography,CUST-4056,Premium,North America,1,98.55,98.55,46.52,52.8,Affiliate,18,Female,Completed
2024-05-05,ORD-1104,Fashion,Running Shoes,CUST-4131,Premium,Latin America,2,43.16,86.31,45.26,47.57,Organic Search,35,Male,Exchanged
2024-06-16,ORD-1105,Toys & Games,Educational Toy,CUST-4924,Standard,Latin America,1,9.05,9.05,4.27,52.87,Direct,39,Female,Completed
2024-06-17,ORD-1106,Books & Media,Art Book,CUST-9455,Premium,North America,1,108.95,108.95,53.86,50.56,Organic Search,27,Male,Exchanged
2024-06-12,ORD-1107,Books & Media,Biography,CUST-8361,Budget,Latin America,2,71.49,142.98,77.91,45.51,Email Marketing,62,Other,Completed
2024-06-14,ORD-1108,Electronics,Wireless Mouse,CUST-2273,Standard,Latin America,2,383.26,766.53,528.8,31.01,Affiliate,45,Female,Completed
2024-06-26,ORD-1109,Fashion,Watch,CUST-1980,Premium,Middle East & Africa,1,461.74,461.74,207.64,55.03,Email Marketing,29,Other,Exchanged
2024-06-24,ORD-1110,Books & Media,Art Book,CUST-8106,Budget,Middle East & Africa,3,91.54,274.61,159.91,41.77,Organic Search,25,Other,Exchanged
2024-06-20,ORD-1111,Toys & Games,Puzzle,CUST-3679,Premium,Asia Pacific,4,30.52,122.09,73.16,40.08,Referral,63,Male,Completed
2024-06-25,ORD-1112,Health & Beauty,Vitamins,CUST-2024,Premium,Middle East & Africa,2,209.93,419.87,270.8,35.5,Direct,55,Male,Returned
2024-06-16,ORD-1113,Toys & Games,Board Game,CUST-8956,Budget,Latin America,3,108.65,325.94,205.87,36.84,Organic Search,23,Other,Completed
2024-06-26,ORD-1114,Fashion,Leather Jacket,CUST-4146,Budget,Europe,1,78.76,78.76,41.37,47.47,Paid Search,31,Other,Completed
2024-06-06,ORD-1115,Fashion,Dress Shirt,CUST-7631,Budget,Latin America,3,170.74,512.23,286.56,44.06,Organic Search,63,Other,Completed
2024-06-28,ORD-1116,Fashion,Handbag,CUST-3344,Premium,North America,3,51.56,154.68,72.0,53.46,Social Media,45,Male,Completed
2024-06-29,ORD-1117,Toys & Games,Doll,CUST-4873,Budget,Europe,6,60.3,361.78,190.62,47.31,Social Media,38,Male,Completed
2024-06-04,ORD-1118,Home & Garden,Bed Sheets,CUST-6489,Enterprise,North America,2,45.76,91.52,55.7,39.14,Organic Search,38,Female,Completed
2024-06-04,ORD-1119,Automotive,Air Freshener,CUST-2449,Budget,Asia Pacific,2,140.96,281.93,177.64,36.99,Affiliate,36,Male,Returned
2024-06-29,ORD-1120,Automotive,Tire Gauge,CUST-5462,Budget,Europe,4,75.66,302.64,168.72,44.25,Social Media,33,Male,Returned
2024-06-11,ORD-1121,Health & Beauty,Shampoo,CUST-1288,Standard,Middle East & Africa,5,147.13,735.65,416.71,43.36,Referral,55,Other,Completed
2024-06-12,ORD-1122,Toys & Games,Puzzle,CUST-1967,Budget,Europe,5,63.77,318.83,182.95,42.62,Paid Search,37,Other,Completed
2024-06-06,ORD-1123,Health & Beauty,Shampoo,CUST-7236,Standard,North America,1,59.19,59.19,25.84,56.35,Referral,38,Other,Completed
2024-06-02,ORD-1124,Sports & Outdoors,Water Bottle,CUST-7617,Enterprise,Latin America,5,99.41,497.04,247.02,50.3,Organic Search,19,Other,Completed
2024-07-30,ORD-1125,Home & Garden,Garden Tools,CUST-4415,Enterprise,Asia Pacific,4,162.81,651.22,396.79,39.07,Social Media,51,Other,Completed
2024-07-24,ORD-1126,Automotive,Car Vacuum,CUST-7388,Budget,Europe,6,78.88,473.29,276.31,41.62,Affiliate,29,Other,Completed
2024-07-31,ORD-1127,Electronics,Gaming Monitor,CUST-5728,Enterprise,Latin America,2,952.99,1905.99,913.57,52.07,Affiliate,36,Male,Completed
2024-07-06,ORD-1128,Electronics,iPhone 15,CUST-4664,Premium,Asia Pacific,1,2683.98,2683.98,1263.93,52.91,Social Media,33,Male,Completed
2024-07-05,ORD-1129,Health & Beauty,Shampoo,CUST-9342,Standard,Asia Pacific,3,131.76,395.28,183.81,53.5,Referral,48,Male,Returned
2024-07-03,ORD-1130,Home & Garden,Vacuum Cleaner,CUST-3403,Standard,Europe,1,193.8,193.8,80.02,58.71,Email Marketing,36,Female,Completed
2024-07-07,ORD-1131,Sports & Outdoors,Running Gear,CUST-3186,Budget,Middle East & Africa,3,48.98,146.93,94.61,35.61,Paid Search,19,Other,Exchanged
2024-07-14,ORD-1132,Books & Media,Magazine,CUST-8407,Standard,Latin America,2,198.7,397.4,194.77,50.99,Affiliate,57,Other,Completed
2024-07-05,ORD-1133,Electronics,iPad Air,CUST-7230,Standard,Latin America,3,1972.01,5916.02,3167.86,46.45,Direct,60,Other,Exchanged
2024-07-21,ORD-1134,Automotive,Car Phone Mount,CUST-2542,Budget,North America,4,116.97,467.9,262.07,43.99,Email Marketing,29,Other,Completed
2024-07-01,ORD-1135,Toys & Games,Building Blocks,CUST-2601,Premium,Europe,5,244.3,1221.48,740.56,39.37,Paid Search,57,Male,Returned
2024-07-14,ORD-1136,Toys & Games,Puzzle,CUST-3691,Standard,Europe,1,106.39,106.39,67.62,36.44,Paid Search,39,Other,Completed
2024-07-21,ORD-1137,Fashion,Watch,CUST-7211,Budget,North America,5,44.22,221.1,141.17,36.15,Direct,39,Male,Exchanged
2024-07-23,ORD-1138,Home & Garden,Vacuum Cleaner,CUST-8477,Budget,Middle East & Africa,4,16.95,67.79,37.95,44.01,Email Marketing,54,Female,Completed
2024-07-27,ORD-1139,Automotive,Car Phone Mount,CUST-1278,Premium,Europe,5,78.05,390.26,215.04,44.9,Direct,42,Male,Completed
2024-07-24,ORD-1140,Automotive,Car Phone Mount,CUST-9263,Standard,Latin America,1,32.09,32.09,22.33,30.4,Direct,41,Female,Completed
2024-07-30,ORD-1141,Home & Garden,Vacuum Cleaner,CUST-1365,Standard,Asia Pacific,4,122.89,491.55,271.85,44.7,Social Media,44,Female,Exchanged
2024-07-15,ORD-1142,Books & Media,Business Book,CUST-9056,Enterprise,Asia Pacific,2,231.76,463.53,261.55,43.57,Paid Search,39,Other,Completed
2024-07-09,ORD-1143,Fashion,Dress Shirt,CUST-5528,Enterprise,Europe,5,331.82,1659.11,673.15,59.43,Email Marketing,53,Other,Completed
2024-07-09,ORD-1144,Fashion,Handbag,CUST-5726,Budget,Asia Pacific,1,154.3,154.3,64.88,57.95,Referral,26,Other,Completed
2024-07-17,ORD-1145,Automotive,Tire Gauge,CUST-3609,Premium,Europe,6,203.55,1221.3,549.26,55.03,Paid Search,58,Female,Completed
2024-07-21,ORD-1146,Automotive,Car Charger,CUST-5325,Budget,Europe,5,148.93,744.67,411.35,44.76,Organic Search,30,Female,Exchanged
2024-07-20,ORD-1147,Automotive,Car Charger,CUST-4211,Standard,Middle East & Africa,2,74.14,148.27,66.52,55.14,Referral,51,Female,Completed
2024-07-14,ORD-1148,Books & Media,Audiobook,CUST-4115,Premium,Europe,5,73.71,368.55,175.23,52.45,Social Media,46,Female,Exchanged
2024-07-09,ORD-1149,Health & Beauty,Protein Powder,CUST-5385,Enterprise,North America,2,84.77,169.55,75.63,55.39,Social Media,61,Other,Completed
